sample,absorbance_mean,absorbance_sd,n_wells,wells,known_ppb,estimated_ppb,below_lowest_standard
BGII (+H) Fossil Lake (E),1.78975,0.10146982310026954,2,"G3,H3",,,True
Big Creek 1-27-2026 (B),1.6215,0.11525840533340712,2,"A3,B3",,0.14555678772636846,True
Big Creek Hays (A),1.76325,0.059750523010263124,2,"G2,H2",,0.03136816945139125,True
"Big Creek, Hays (N)",1.70525,0.0682358043845017,2,"A6,B6",,0.08225039084573649,True
Control,0.975,0.0275771644662753,2,"E2,F2",0.75,0.75,False
Fossil Lake (I),1.721,0.002121320343559723,2,"G4,H4",,0.06951015703389288,True
Fossil Lake (K),1.66625,0.09227743494484449,2,"C5,D5",,0.11232583016144325,True
Fossil Lake (L),1.7725,0.03181980515339459,2,"E5,F5",,0.02125265724988834,True
Fossil Lake 01-27-2026 (Q),1.7730000000000001,0.009899494936611753,2,"G6,H6",,0.02066445466941537,True
Fossil Lake 27-03-2026 (C),1.76125,0.14036069606552978,2,"C3,D3",,0.03341195089537861,True
Limnothrix 27-03-26 (H),1.89025,0.037123106012293815,2,"E4,F4",,,True
Limnothrix-UTEX (O),1.7229999999999999,0.08131727983645289,2,"C6,D6",,0.06785561802753948,True
Limnothrix-UTEX (P),1.71975,0.03995153313703985,2,"E6,F6",,0.07053952987847303,True
Limnotrhix-UTEX (G),1.76975,0.026516504294495594,2,"C4,D4",,0.024398301344100294,True
Standard 0,1.846,0.0989949493661165,2,"A1,B1",0.0,0.0,True
Standard 1,1.6165,0.03606244584051372,2,"C1,D1",0.15,0.15,False
Standard 2,1.2965,0.016263455967290685,2,"E1,F1",0.4,0.4,False
Standard 3,0.87,0.02687005768508883,2,"G1,H1",1.0,1.0,False
Standard 4,0.59425,0.04772970773009192,2,"A2,B2",2.0,2.0,False
Standard 5,0.427,0.0028284271247461927,2,"C2,D2",5.0,5.0,False
Trexel 01-27-26 (R),1.7495,0.005656854249492385,2,"A7,B7",,0.04475769765022461,True
Trexel Lake (M),1.75025,0.09015611460128477,2,"G5,H5",,0.044060980453878476,True
Trexel Lake 11-12-25 (J),1.691,0.06505382386916243,2,"A5,B5",,0.09343107449944324,True
UTEX Limnothrix (D),1.80125,0.13823937572197004,2,"E3,F3",,,True
UTEX-Limnothrix (F),1.78875,0.001767766952966331,2,"A4,B4",,,True
